Name,Image Url,Description,Cuisine,Course,Diet,Prep Time,Ingredients,Instructions
Bhaat Na Muthiya Dhokla Recipe | Gujarati Farsan | Snack,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2021/Bhaat_Na_Muthia_Dhokla_recipe_4.jpg,Bhaat na Muthiya Dhokla Recipe is a staple dish of every Gujarati kitchen home and every home has ways to invent dishes that can be made from leftover rice. Muthiya a common staple in every Gujarati home is made by steaming dumplings of mashed rice combined with vegetables and spices.,Gujarati Recipes﻿,Indian Breakfast,Vegetarian,Total in 40 M,"Main Ingredients

							 		2 cups Cooked rice							 		, (leftover rice can be used)							 	

							 		1/2 cup Gram flour (besan) 

							 		1 teaspoon Ginger							 		, finely grated							 	

							 		1/2 teaspoon Turmeric powder (Haldi) 

							 		1/4 teaspoon Asafoetida (hing) 

							 		1/2 teaspoon Red Chilli powder 

Coriander (Dhania) Leaves							 		, small bunch, finely chopped							 	

							 		1 cup Bottle gourd (lauki)							 		, grated							 	

							 		1 tablespoon Oil 

Salt							 		, to taste							 	
Ingredients for seasoning

							 		1 teaspoon Mustard seeds (Rai/ Kadugu) 

							 		1 teaspoon Sesame seeds (Til seeds) 

							 		2 tablespoons Fresh coconut							 		, grated							 	

							 		6 Curry leaves							 		, finely chopped							 	

							 		1 tablespoon Coriander (Dhania) Leaves							 		, finely chopped							 	

							 		1 teaspoon Oil","To make the Bhaat Na Muthiya Dhokla Recipe, we will first prepare the steamer by filling it with water and grease the steamer plates.Using a large wide bowl combine the cooked rice, gram flour, grated ginger, turmeric powder, asafoetida powder, red chilli powder, coriander leaves, bottle gourd and oil for the muthias and mash well using a masher or with your hands. The mixture will look like a firm ball of dough.Divide the above mixture into 15-20 equal portions and shape them into ovals. Or you can shape them into longer logs and cut them into rounds after they are steamed.Place the portions of the dumplings 1 inch apart on the greased plates and steam on high heat for 15 minutes. Turn off heat and allow the Muthia to rest for 5 minutes with the steamer lid opened. Transfer the steamed bhaat na muthia portions onto a serving platter.Next we will make the seasoning for the Bhaat na Muthiya. Heat oil in a small pan on medium heat; add the mustard seeds, sesame seeds, curry leaves and allow them to crackle.Drizzle the seasoning on top of the Muthiya and garnish with the grated coconut and coriander leaves and serve.Serve these Bhaat Ka Muthiya Dhokla along with Dhaniya Pudina Chutney and a glass of cold Chaas as a tea time snack or as a quick weeknight dinner."
Udupi Style Huli Podi Recipe (Sambar Powder),https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Udupi_Style_Huli_Pudi_Recipe_Sambar_mix_Recipe.jpg,"Udupi Style Huli Pudi Recipe (Sambar mix Recipe) is an authentic recipe that is been followed by the people in the regions of Karnataka. This pudi mix is very famous among udupi, Mangalore and Malnad cuisine. The mix consists of right proportion of chana dal, urad dal, coriander seeds, fenugreek seeds, dry red chilli and curry leaves.",Udupi,,,Total in 15 M,"6 teaspoon White Urad Dal (Split) 

							 		3 teaspoon Chana dal (Bengal Gram Dal) 

							 		8 teaspoon Coriander (Dhania) Seeds 

							 		2 teaspoon Cumin seeds (Jeera) 

							 		1 teaspoon Methi Seeds (Fenugreek Seeds) 

							 		2 sprig Curry leaves 

							 		20 Dry Red Chillies 

							 		1 teaspoon Asafoetida (hing) 

							 		2 tablespoons Oil","To begin making the Udupi Style Huli Pudi Recipe, heat oil in a sauce pan over a medium heat.Add the chana dal first and roast them for 10 seconds. Then you can go ahead and add the urad dal and roast it for 5 more seconds.Add the coriander seeds, cumin seeds, fenugreek seeds and roast for 5 seconds till the aroma is released.Go ahead and add the dry red chillies, hing and curry leaves and roast these for another 10 seconds. Serve the Udupi Style Huli Pudi in Udupi sambar and enjoy your meal with some steamed rice."
Maharastrian Kairichi Amti Recipe - Raw Mango Curry Recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Maharastrian_Kairichi_Amti_Recipe_Raw_Mango_Curry_Recipe_1_1600.jpg,Maharashtrian Kairichi Amti Recipe (Gravied Green Mango) is a wonderful curry made with tangy raw mango that stewed in some spicy coconut curry.,Maharashtrian Recipes,Side Dish,Vegetarian,Total in 40 M,"For the fresh coconut masala

							 		1/2 cup Fresh coconut							 		, grated							 	

							 		2 Dry Red Chillies 

							 		1 teaspoon Cumin seeds (Jeera) 

							 		1 teaspoon Coriander (Dhania) Seeds 

							 		1/2 teaspoon Methi Seeds (Fenugreek Seeds) 

							 		1 inch Ginger 

							 		5 cloves Garlic 
Other Ingredients

							 		1 tablespoon Oil 

							 		1/2 teaspoon Mustard seeds (Rai/ Kadugu) 

							 		2 sprig Curry leaves 

							 		1/2 teaspoon Turmeric powder (Haldi) 

							 		1 Mango (Raw)							 		, peeled and diced							 	

							 		1 teaspoon Jaggery 

Salt							 		, to taste","To begin Maharashtrian Kairichi Amti Recipe, we will first prep all the ingredients and keep ready.To grind the fresh coconut masala; in a mixer jar, combine the grated coconut along with the dry red chillies, cumin seeds, coriander seeds, garlic, ginger, and methi seeds. Grind this mixture into a fine paste adding 1/2 cup of warm water. Set aside. To make the Maharashtrian Kairichi Amti Recipe, heat a pan with oil on medium heat. Add the mustard seeds and allow it to crackle.Stir in the curry leaves, the raw mango and a pinch of salt. Add ¼ cup of water and cover the pan. Cook the mangoes in the water until soft. This will take about 4 to 5 minutes.Once the mangoes are cooked, stir in the coconut masala and simmer for another 5 minutes until the amti has come together and is well cooked.  Check the salt and adjust to taste accordingly. Turn off the heat and serve hot.Serve the Maharashtrian Kairichi Amti Recipe along with steamed rice, gajarachi koshimbir and Dal Palak Recipe to enjoy your everyday meal."
"Beetroot, Aloo & Amaranth Leaves Sabzi Recipe",https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2019/Beetroot_Aloo_Amarath_Leaves_Sabzi_recipe_6-2_1600.jpg,"Beetroot, Aloo & Amaranth Leaves Sabzi Recipe, has all the good ingredients in one dish. The sabzi is simply tossed with hing, tempered cumin seeds and flavoured with red chilli powder, coriander powder and garam masala powder.",North Indian Recipes,Side Dish,Vegetarian,Total in 45 M,"2 Beetroot							 		, grated							 	

							 		10 Baby Potatoes 

							 		1 cup Green Amaranth Leaves							 		, chopped							 	

							 		1 Onion							 		, sliced							 	

							 		3 cloves Garlic							 		, finely chopped							 	

							 		2 Green Chillies							 		, slit							 	

							 		1 teaspoon Mustard seeds (Rai/ Kadugu) 

							 		1 teaspoon Cumin seeds (Jeera) 

							 		1 pinch SSP Asafoetida (Hing) 

							 		1/4 teaspoon Turmeric powder (Haldi) 

							 		1/2 teaspoon Red Chilli powder 

							 		2 teaspoon Coriander Powder (Dhania) 

							 		1 teaspoon Garam masala powder 

Salt							 		, to taste							 	

							 		2 teaspoon Mustard oil","To begin making the Beetroot, Aloo & Amaranth Leaves Sabzi Recipe, pressure cook the baby potatoes in water for  2 whistle. Let the pressure release naturally and then open the lid and peel the potatoes. Keep aside.Heat a kadai and add some oil. Once the oil is hot add mustard seeds, hing, cumin seeds and allow it to splutter for few seconds. After the seeds have spluttered add the garlic, green chillies and onions and saute till onions are soft.Once the onions have softened add the baby potatoes and roast for two minutes.Now add the masalas, haldi, coriander powder, chilli powder and stir well to combine. Once the masalas are well combined into the potatoes add the grated beetroot, salt to taste and stir. Add in the Amaranth leaves and combine everything well. Close the pan with a lid and cook till the leaves and beetroot are nearly done. Open the lid and stir in the garam masala and cook till the beetroot and amaranth leaves are cooked.Turn off the heat and transfer the Beetroot, Aloo & Amaranth Leaves Sabzi into a serving owl.Serve the Beetroot, Aloo & Amaranth Leaves Sabzi Recipe along with phulka, Green Moong Dal Makhani and Sweet Potato & Green Bean Salad by the side to make it a rich and delicious meal."
Chettinad Rasam Powder Recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Uma_Raghuraman/Chettinad_Rasam_Powder.jpg,"The Chettinad Rasam Powder Recipe is a classic and traditional recipe of the powder that is used in south indian homes. 'Rasam' or Charu/ Saaru is a flavourful South Indian Soup made from the juice of tamarind, tomatoes along with or without the Lentil broth. It can be sipped and enjoyed like a soup or mixed with rice. It is a great appetiser and has medicinal properties too. The Chettinad Rasam powder can be prepared in bigger batches and you can store them in an airtight container. It stays good for 3 to 6 months.",Chettinad,,,Total in 35 M,"1 cup Dry Red Chillies 

							 		1/2 cup Coriander (Dhania) Seeds 

							 		1/4 cup Arhar dal (Split Toor Dal) 

							 		1 tablespoon Cumin seeds (Jeera) 

							 		1 tablespoon Whole Black Peppercorns 

							 		1 teaspoon Methi Seeds (Fenugreek Seeds) 

							 		1 tablespoon Sesame (Gingelly) Oil","To begin making the Chettinad Rasam Powder Recipe, heat a medium size pan and dry roast the coriander seeds,fenugreek seeds and pigeon peas all separately. Roast them until they are crisp and the dals turn pinkish brown.Once roasted, set them aside to cool.In the same pan, heat 1/2 tablespoon oil in low heat and fry chillies for about 2 to 3 minutes and set it aside to cool.Heat the another 1/2 tablespoon of oil over low heat and fry cumin seeds and peppercorns separately till fragrant and set aside to cool.Combine all the above roasted chettinad rasam powder ingredients and grind them to a coarse powder and store the Chettinad Rasam powder in an airtight container.  If you plan to use it occasionally, then place the bottle in the freezer and it will remain fresh for a long time. "
Dal Palak Recipe With Moong & Masoor Dal,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Dal_Khadi_Curry/Dal_Palak_Recipe_Healthy_Spinach_Lentil_Curry-2.jpg,Dal Palak Recipe is a nutritious and wholesome dish that is rich in proteins and minerals. This recipe is made from fresh steamed spinach that is mixed along with cooked lentils and spices to make a delectable combination. The addition of a ghee tadka (seasoning) along with cumin and red chillies adds to flavour of the Dal Palak Recipe.,North Indian Recipes,Side Dish,High Protein Vegetarian,Total in 55 M,"1/2 cup Yellow Moong Dal (Split) 

							 		1/2 cup Masoor Dal (Whole) 

							 		250 grams Spinach Leaves (Palak)							 		, chopped and steamed							 	

							 		1 Tomato							 		, finely chopped							 	

							 		1 inch Ginger							 		, grated							 	

							 		1 teaspoon Turmeric powder (Haldi) 

							 		1/2 teaspoon Cumin powder (Jeera) 

							 		1/2 teaspoon Garam masala powder 

Salt							 		, to taste							 	
Ingredients for seasoning

							 		1 tablespoon Ghee 

							 		1/2 teaspoon Cumin seeds (Jeera) 

							 		2 Dry Red Chillies","To begin making the Dal Palak recipe we will first cook the lentils (dal) using a pressure cooker using 3 cups of water. See video recipe of how to cook lentils using pressure cooker.Next we will cook the spinach with the spices. There are two ways you can do it - in a sauce pan by sauteeing it or in a pressure cooker.Below you will find the recipe of how you cook the spinach in a pressure cooker, as the method is really fast. If you are using a saucepan method, then follow the same procedure, but just cover the pan and cook until the spinach is soft.Into a pressure cooker, add a teaspoon of oil; add the ginger, green chillies, tomatoes, turmeric powder, cumin powder, garam masala powder, salt and spinach. Stir all the ingredients together just to combine them. Once combined, cover the pressure cooker, place the weight on. Pressure cook until you hear one whistle. After the first whistle, turn off the heat. We will now place the pressure cooker under cold running water to release the pressure immediately. This way, we will release the pressure quickly and the spinach does not get over-cooked and remain fresh and green.Now that you have the spinach and lentils ready, if your cooker is large enough, add the cooked dal into the spinach and give it a stir. Bring the Dal Palak to a quick boil. Our next step is to proceed to make the seasoning. Into a small saucepan, heat a tablespoon of ghee. Add in the cumin seeds and dry red chillies. Roast them until they crackle and sizzle.Add this seasoning to the Dal Palak and give it a stir. Serve the Dal Palak for a simple and healthy weeknight dinner along with steamed rice or Paneer Pulav or traditional Tawa Parathas. Also, do make sure to slice up some onions, squeeze in some lemon and toss it along with salt and serve it with the Dal Palak. The combination is delicious."
Stuffed Mooli Paratha Recipe (Radish Flat Bread),https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2017/0-Archana/7_short_format_Stuffed_mooli_Paratha_Video_Figaro_Olive_Oil_recipe-1.jpg,"Stuffed Mooli Paratha Recipe is simple, wholesome healthy recipe that is made from grated white radish along with some spices is stuffed in a whole wheat flour dough. Stuffed Mooli paratha can be served for breakfast or any other meal, all throughout the year. ",North Indian Recipes,Indian Breakfast,Diabetic Friendly,Total in 65 M,"For the stuffing:

							 		3 Mooli/ Mullangi (Radish)							 		, finely grated							 	

							 		2 teaspoon Extra Virgin Olive Oil 

							 		1 teaspoon Cumin powder (Jeera) 

							 		1 teaspoon Ginger							 		, grated							 	

							 		1-1/2 tablespoons Gram flour (besan)							 		, (optional)							 	

Coriander (Dhania) Leaves							 		, a handful, chopped							 	

							 		2 Green Chillies							 		, finely chopped							 	

Salt							 		, to taste							 	
For the dough:

							 		2 cups Whole Wheat Flour 

							 		1 teaspoon Salt 

Extra Virgin Olive Oil							 		, or ghee to smear while cooking							 	

							 		1 teaspoon Salt 

Oil							 		, or ghee to smear while cooking","To begin making the Stuffed Mooli Paratha heat olive oil in a wide pan.Add the radish, salt and saute on high heat till all the moisture from radish evaporates.Turn off the heat and add the remaining ingredients for the stuffing and stir well to combine.Allow the stuffing mixture to cool down.Mix all the ingredients for the dough in a mixing bowl, add little water at a time and knead to make a smooth dough. Divide the dough into 8 portions.Dust a flat working surface with some flour. Roll a portion into a ball and flatten it using your fingers and roll it out into a 3 inch diameter circle.Place about 2 tablespoons of the stuffing in the center, gather the edge and seal it. Carefully roll it out into a circle about 6-7 inches in diameter.Heat a skillet over medium heat and cook the mooli paratha in olive oil until cooked through, and has golden brown spots on both sides.Repeat with the remaining portions of the dough and the mooli paratha filling.Serve Stuffed Mooli parathas on its own or with a chutney, raita or pickle of choice."
Paneer Tikka Pulao Recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/swathynandhini/PANEER_TIKKA_PULAO_1600.jpg,Paneer Tikka Pulao is a simple one pot meal that is prepared by cooking marinated and pan roasted Paneer tikka along with rice and spices in a pressure cooker.,North Indian Recipes,Lunch,Vegetarian,Total in 50 M,"1-1/2 cups Basmati rice 

							 		1 Onion 

							 		1 Green Chilli 

							 		1 teaspoon Cumin seeds (Jeera) 

							 		1 Cardamom (Elaichi) Pods/Seeds 

							 		1 inch Cinnamon Stick (Dalchini) 

							 		2 Cloves (Laung) 

							 		1 Bay leaf (tej patta) 

							 		1/4 teaspoon Turmeric powder (Haldi) 

							 		1/4 teaspoon Garam masala powder 

							 		2 teaspoon Oil 

Salt							 		, as required							 	
For the Tikka

							 		200 grams Paneer (Homemade Cottage Cheese)							 		, cubed into 1 inch thick pieces							 	

							 		2 tablespoons Curd (Dahi / Yogurt) 

							 		3 teaspoons Gram flour (besan) 

							 		1 teaspoon Red Chilli powder 

							 		1/2 teaspoon Garam masala powder 

							 		1/2 teaspoon Kasuri Methi (Dried Fenugreek Leaves) 

							 		1 tablespoon Ginger Garlic Paste 

Coconut Oil							 		, as required","To begin making Paneer Tikka Pulao, we will wash and soak basmati rice in water for 30 minutes. The next step is to make the marinade for the paneer. In a large bowl, combine curd, gram flour, ginger garlic paste, red chilli powder, garam masala powder and little salt.Mix everything together into thick paste. Add paneer cubes to the paste and mix well so that the paste is well coated on each paneer cube. Cover and refrigerate for 30 minutes.Heat a griddle and add two teaspoons cooking oil, place the paneer cubes and fry until slightly golden on all sides. Remove from tawa and keep aside.The next step is to make the pulao. Heat a teaspoon of oil in a pressure cooker and add cumin seeds, cinnamon, cloves, cardamom and bay leaf. Saute for a minute.Add chopped onion and slitted green chilli. Saute until the onions turn soft and translucent.Once the onions turn soft, add the paneer tikkas, turmeric powder, garam masala powder and mix lightly without breaking the paneer cubes. Drain the soaked basmati rice from water and add to the pressure cooker. Saute for a minute until the masalas coat on to the rice.Add 3 cups of water along with required amount of salt. Mix well and bring the water to a boil.Close the cooker and pressure cook for a whistle. Once the pressure releases naturally, gently fluff the rice with a fork. Garnish with coriander leaves.Serve Paneer Tikka Pulao along with Tomato Onion Raita or Tadka Raita for a simple sunday lunch or pack it for lunch box on a weekday."
Bharwa Karela Makhani  Recipe - Stuffed Karela Masala Gravy ,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sneha-archanaskitchen.com/Bharwa_Karela_Masala_Recipe__Stuffed_Karela_In_Gravy_.jpg,Bharwa Karela Makhani Recipe is a delicious karela gravy recipe that can be relished by diabetics. ,North Indian Recipes,Main Course,Diabetic Friendly,Total in 35 M,"3 Karela (Bitter Gourd/ Pavakkai) 
For the Bharwa Karela Stuffing

							 		1/2 cup Paneer (Homemade Cottage Cheese)							 		, grated  							 	

							 		2 Potatoes (Aloo)							 		, boiled and mashed							 	

Salt							 		, to taste 							 	

							 		1/2 teaspoon Black pepper powder 

							 		1 sprig Coriander (Dhania) Leaves							 		, chopped							 	

							 		1 sprig Mint Leaves (Pudina)							 		, chopped							 	

							 		1 teaspoon Oil 
For the Bharwa Karela masala gravy

							 		1 teaspoon Oil 

							 		2 Onions							 		, finely chopped 							 	

							 		1 cup Homemade tomato puree 

							 		1 inch Ginger							 		, chopped 							 	

							 		4 cloves Garlic							 		, chopped 							 	

							 		1 Green Chilli							 		, chopped 							 	

							 		1/2 teaspoon Red Chilli powder 

							 		1 teaspoon Coriander Powder (Dhania) 

							 		1 teaspoon Cumin powder (Jeera) 

							 		1 teaspoon Garam masala powder 

							 		1 pinch Sugar 

							 		2 tablespoons Fresh cream 

Salt							 		, to taste","To begin making the Bharwa Karela Makhani Recipe, wash the karela well, and very lightly peel of the skin, allow the green of the karela to be there, as its important for health.Cut the karela into three pieces, horizontally. Gently scoop out the flesh and seeds from inside the karela, in a way that you should be left with hollow cylinders of the karela pieces. In a pressure cooker, add the karela pieces and two tablespoons of water and pressure cook for one whistle. Turn off the heat and allow the pressure to release naturally. Drain the water if any and transfer the karela into a bowl and set aside. *For the Bharwa Karela StuffingIn a mixing bowl, combine the grated paneer, mashed potatoes, salt and pepper, chopped coriander and mint leaves. Mix well. Stuff Karela Stuffing mixture generously into the karela cylinders. Heat a pan with oil on medium flame, place the Bharwa Karela in it and cook until slightly roasted turning them around from time to time. This will take about 5-7 minutes. Once the Bharwa Karela have got a nice brown colour, turn off thee flame and set aside. *For the Bharwa Karela Makhani gravyIn a saucepan heat oil on medium flame, add the chopped ginger garlic and saute for a couple of minutes. Next add in the onions and saute till they turn into a light brown colour. This will take about 6-8 minutes. Once the onion-ginger-garlic is well cooked, add in the green chilies and tomato puree, cover and cook for 5 minutes. After 5 minutes, open the lid and add in all the dry masalas- red chilli powder, coriander powder,  jeera powder,  garam masala powder, sugar and salt. Bring the Bharwa Karela Makhani gravy to a single boil. Turn down the flame, mix in the cream. Once the cream is well combined, turn off the flame. In a serving plate arrange the Bharwa Karela and then pour the Makhani gravy over it. Serve the Bharwa Karela Makhani hot.Serve Bharwa Karela Makhani Recipe along with Ragi Tawa Paratha, Beetroot Raita Recipe, Kala Chana Salad Recipe With Carrots, Cucumber & Tomatoes for a simple Diabetic Friendly meal."
Urulaizhilangu Podimas (South Indian Style Potato Mash),https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Nithya_Anantham/urulaizhilangu_Podimas_South_Indian_Style_Potato_Mash.jpg,Urulaizhilangu Podimas is a very popular recipe from Tamil Nadu. It is also a simple recipe to cook and serve in no time. It is mildly spiced and is a perfect dish to be had along with Plain Rice and Rasam on a rainy day. It uses very little oil and spice making it a healthier choice to even pack it in kids lunch box. Serve this amazing Urulaizhilangu Podimas with Steamed Rice and Tomato Rasam or Sambar for the weeknight dinner along with some roasted papads.,South Indian Recipes,Lunch,Vegetarian,Total in 30 M,"1/2 kg Potatoes (Aloo)							 		, boiled							 	

							 		1 teaspoon Oil 

							 		1/2 teaspoon Mustard seeds (Rai/ Kadugu) 

							 		1/4 teaspoon White Urad Dal (Split) 

							 		2 Dry Red Chillies 

							 		1 sprig Curry leaves 

Asafoetida (hing)							 		, A pinch							 	

Salt							 		, to taste							 	
To grind to coarse mix

							 		2 tablespoons Fresh coconut							 		, grated							 	

							 		1 Dry Red Chilli","To begin making Urulaizhilangu Podimas (South Indian Style Potato Mash) Recipe, wash and pressure cook the potatoes for two whistles. Once cooked release the steam, peel the skin of the potatoes, roughly mash it with your hands and keep it aside.Next, prepare the coconut and dry red chilli coarse mix using a mixer grinder and keep aside.Now, heat oil in a pan in medium heat, add mustard seeds and urad dal, and let it splutter.Add the pinch of asafoetida, dry red chillies and a sprig of curry leaves and let the curry leaves splutter.Now, add the roughly mashed boiled potatoes and give it a good stir.season with salt, mix and cook in medium heat for a few minutes.switch off the flame, add the coarse coconut and red chilli mix to the potatoes and mix it evenly.Serve the Urulaizhilangu Podimas with Steamed Rice and Tomato Rasam or Sambar along with some roasted papad for a weeknight dinner."
Mullangi Mor Pachadi Recipe (Radish in spicy tempered Yogurt Gravy Recipe),https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Mullangi_Mor_Pachadi_Recipe_Radish_in_spicy_tempered_Curd_Gravy_Recipe.jpg,Mullangi Mor Pachadi Recipe (Radish in spicy tempered Curd Gravy Recipe) is a wonderful way to add radish in curd to make a spicy curry. The sourness from the curd complements well with the flavor of the radish. Radish is a diabetic friendly vegetable as it is considered as one of the nutritional root vegetable. It is rich in Vitamin C and minerals such as iron and magnesium.,Tamil Nadu,Lunch,Vegetarian,Total in 15 M,"1 cup Mooli/ Mullangi (Radish)							 		, grated							 	

							 		1 cup Hung Curd (Greek Yogurt) 

Salt							 		, to taste							 	
For the tempering

							 		1 tablespoon Oil 

							 		2 Green Chillies							 		, slit							 	

							 		1 teaspoon Mustard seeds (Rai/ Kadugu) 

							 		1 teaspoon White Urad Dal (Split) 

							 		1 sprig Curry leaves 

							 		1 teaspoon Asafoetida (hing)","We begin making the Mullangi Mor Pachadi Recipe (Radish in spicy tempered Yogurt Curry Recipe) by heating the kadai with oil, splutter mustard seeds and urad dal along with curry leaves and hing.Add in the green chilies and grated radish. Saute till the radish is cooked and make do not roast them or brown them. You can add little water and cover it with a lid and let it cook.Once done leave it to cool down.In a bowl, whisk in the curd with salt and little water according to your consistency, add in the sauteed radish and mix well and serve.Serve the Mullangi Mor Pachadi Recipe (Radish in spicy tempered Curd Gravy Recipe) with just hot steam rice or can be had with any stuffed paratha."
Raw Banana and Banana Stem Stuffed Paratha Recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Raw_Banana_and_Banana_Stem_Stuffed_Paratha_Recipe.jpg,"Raw Banana and Banana Stem Stuffed Paratha Recipe is a super healthy stuffed Indian bread that contains two ingredients that have a good nutritional value. Parathas are a staple breakfast for most of the North Indian people. It is usually made with Aloo, onion or paneer as a stuffing. But it is very rare to use raw banana and raw stem in a stuffed paratha, here in this recipe we have put them together in one dish that is made super delicious and can be had without any guilt as your morning breakfast.",Indian,Lunch,Diabetic Friendly,Total in 50 M,"1 Banana Stem							 		, cut into small pieces							 	

							 		2 Raw Banana							 		, boiled and mashed							 	

							 		1 Onion							 		, chopped							 	

							 		4 cloves Garlic							 		, chopped							 	

							 		1 inch Ginger							 		, chopped							 	

							 		1 Green Chilli							 		, chopped							 	

							 		1 teaspoon Cumin seeds (Jeera) 

							 		1 teaspoon Red Chilli powder 

							 		1/2 teaspoon Turmeric powder (Haldi) 

							 		1 teaspoon Garam masala powder 

							 		1 teaspoon Black pepper powder 

							 		1 teaspoon Amchur (Dry Mango Powder) 

Salt							 		, to taste							 	
For the Dough

							 		1 cup Whole Wheat Flour","To begin making the by boiling the raw banana in the pressure cooker. Cut the banana into two pieces, remove the edges, boil it with water and salt for about 4 whistle.Once done, release the pressure naturally, remove the skin and mash it into a fine mixture.Heat a saucepan with oil, add cumin seeds and allow it splutter for 10 seconds. Add chopped onions, garlic, ginger and saute until it softens.Add the chopped banana stem along with ½ cup water and cover it with a lid and cook for about 15 minutes until the banana stem is cooked.To this add all the spice powder like turmeric powder, red chilli powder, garma masala, amchur powder, salt and pepper powder and also add the mashed raw banana.Mix well and cook the mixture for about 10 more minutes on low heat and switch it off.In order to make the dough, knead all the ingredients well into a soft dough .Now to begin making the paratha, keep some flour aside for dusting. Divide the dough into large lemon side balls.Dust the dough portions in flour, flatten it and roll it into a 3 inch diameter circle. Place the filling on half side of the circle and close the paratha by folding it from all sides. Yes it’s as simple as that.You will have a big dumpling.Press it slightly and gently use the rolling pin to flatten it. Take care, the filling can ooze out if the dough is rolled out too thin.Now to cook the Paratha, first preheat the skillet on medium heat. Place the rolled paratha on top and allow it to cook on one side. After about 10 to 15 seconds, flip the paratha.At this stage, smear some oil or ghee to cook the paratha. Cook the paratha by flipping over a couple of times until you see golden brown spots on both sides.Serve the Raw Banana and Banana Stem Stuffed Paratha along with fresh cup of curd by the side or Aam Ka Chunda Recipe to go along with your paratha."
Chicken Kappa Biryani Recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Chicken_Kappa_Biryani_Recipe.jpg,Chicken Kappa Biryani Recipe is an authentic Kerala recipe to which we have added a twist by using chicken instead of beef. Most of us are aware of Biryani made with any type of rice but in Kerala since tapioca is consumed a lot.,Kerala Recipes,Lunch,Non Vegeterian,Total in 55 M,"500 grams Tapioca root							 		, skin peeled and chopped into small cubes							 	

							 		250 grams Chicken							 		, minced							 	

							 		1 Onion							 		, sliced							 	

							 		5 cloves Garlic							 		, chopped							 	

							 		1 inch Ginger							 		, chopped							 	

							 		1 sprig Curry leaves 

							 		1 Green Chilli							 		, sliced							 	

							 		1 teaspoon Turmeric powder (Haldi) 

							 		1 teaspoon Red Chilli powder 

							 		2 teaspoons Garam masala powder 

							 		1 teaspoon Black pepper powder 

							 		3 tablespoons Fresh coconut							 		, grated							 	

Salt							 		, to taste							 	

Coconut Oil							 		, for cooking","To begin making the Chicken Kappa Biryani Recipe, we will first pressure cook the tapioca in pressure cooker with salt to 6 whistles.The tapioca must be boiled enough so that it is easy for you to mash it.  Once done allow the pressure cooker to release the pressure naturally.Drain the water, transfer the tapioca in a bowl and mash it well, leaving it a bit chunky as well. Set aside. Heat a kadai with coconut oil, add curry leaves and allow it splutter. Add ginger, garlic and saute for a few minutes. Add sliced onions and saute till they turn translucent. Now add all the spice powders-  turmeric powder, red chilli powder, garam masala powder and pepper powder, give it a good stir.Add minced chicken and cook until the chicken is done. This will take about 18-20 minutes. Add the cooked and mashed tapioca, mix them well.By using a masher try to mash the tapioca a little more and also keep few chunks as well for a good texture.Serve the Chicken Kappa Biryani Recipe along with potato theeyal or Tomato Onion Cucumber Raita to enjoy your Sunday lunch."
